Date,Obs,Parch,Plant_ID,Bract,Treatment,Method,Dia-olv,Peso_fruta,# Semillas,Peso 1,Peso 2,Peso 3,Falsa,# de frutas por Bractea,Notas
11-Jun-25,MAP,K3,508,3,NS,PRM,8.17,0.46,1,0.09,0,0,1,1,
27-Jun-25,MAP,K2,513,2,NS,PRM,7.6,0.44,1,0.12,0,0,0,1,
10-Jul-25,MAP,K2,512,2,NS,PRM,8.72,0.54,2,0.12,0.12,0,0,1,
10-Jul-25,MAP,K1,599,1,NS,PRM,9.14,0.75,3,0.12,0.12,0.13,0,1,
10-Jul-25,MAP,K2,512,2,NS,PRM,7.04,0.33,1,0.12,0,0,0,1,
10-Jul-25,MAP,K2,507,3,CTRL,PRM,7.76,0.46,1,0.14,0,0,0,1,
10-Jul-25,MAP,K1,600,1,CTRL,PRM,9,0.6,3,0.07,0.11,0.03,1,1,Semilla falsa
10-Jul-25,MAP,K1,600,1,CTRL,PRM,9.08,0.69,3,0.12,0.11,0.07,0,2,
10-Jul-25,MAP,K1,600,2,CTRL,PRM,8.66,0.65,2,0.15,0.14,0,0,1,
10-Jul-25,MAP,K1,600,3,CTRL,PRM,9.08,0.71,3,0.13,0.12,0.1,0,1,
10-Jul-25,MAP,K1,600,3,CTRL,PRM,8.49,0.5,2,0.11,0.1,0,0,2,