Date,Parch,Plant_ID,Bract ,Treatment,Pollen_Donor,Time of Pollen,Out,Amount of Nectar,Bract_NS_Donor,Notes 
24-Apr-25,K1 ,599,1,NS,531,8:00,5,LO,2,
24-Apr-25,K1 ,600,1,CTRL,N/A,8:10,10,N/A,N/A,
24-Apr-25,K1 ,600,6,CTRL,N/A,8:11,2,N/A,N/A,
24-Apr-25,K2,506,2,NS,531,8:23,5,RE,1,
24-Apr-25,K2,507,2,CTRL,N/A,8:25,1,N/A,N/A,
24-Apr-25,K3,508,3,NS,531,8:30,5,LO,2,
24-Apr-25,K3,508,4,NS,531,8:32,3,LO,2,
24-Apr-25,K3,509,1,CTRL,N/A,8:36,0,N/A,N/A,
25-Apr-25,K2,510,1,NS,531,8:05,10,LI,6,
25-Apr-25,K2,510,3,NS,531,8:08,9,LI,6,
25-Apr-25,K2,507,3,CTRL,N/A,8:15,0,N/A,N/A,
26-Apr-25,K1 ,511,2,NS,531,8:00,11,LO,4,
26-Apr-25,K1 ,600,3,CTRL,N/A,8:11,7,N/A,N/A,
26-Apr-25,K2,512,2,NS,531,8:18,7,LO,4,
26-Apr-25,K2,512,4,NS,531,8:21,3,LI,2,
26-Apr-25,K2,513,2,NS,531,8:34,2,LO,3,
26-Apr-25,K2,513,3,NS,531,8:35,0,RE,2,
26-Apr-25,K3,508,3,NS,531,8:46,N/A,LI,4,
26-Apr-25,K3,508,4,NS,531,8:47,N/A,RE,3,
28-Apr-25,K1 ,514,1,NS,531,8:10,2,LO,2,
28-Apr-25,K1 ,514,2,NS,531,8:12,5,LI,1,
28-Apr-25,K1 ,600,1,CTRL,N/A,8:15,10,N/A,N/A,
28-Apr-25,k2,512,1,NS,531,8:20,7,LI,3,
28-Apr-25,k2,512,3,NS,531,8:24,5,LI,1,
28-Apr-25,k2,513,1,NS,531,8:40,3,RE,3,
28-Apr-25,k2,513,3,NS,531,8:45,N/A,LI,1,
28-Apr-25,k2,515,1,NS,531,8:50,9,LO,2,
28-Apr-25,k2,515,2,NS,531,8:53,8,LO,1,
29-Apr-25,K2,506,5,NS,531,8:20,3,LO,3,
29-Apr-25,K2,507,3,CTRL,N/A,8:25,N/A,N/A,N/A,
29-Apr-25,KT,516,1,NS,531,8:45,8,LO,5,
30-Apr-25,K1 ,511,3,NS,566,8:15,8,LO,4,
30-Apr-25,K1 ,511,6,NS,566,8:20,4,LO,4,
30-Apr-25,K1 ,599,2,NS,566,8:30,6,LO,6,
30-Apr-25,K1 ,599,4,NS,566,8:47,2,LO,6,
30-Apr-25,K1 ,517,4,NS,566,8:50,4,RE,1,
30-Apr-25,K1 ,517,5,NS,566,9:00,5,RE,1,
30-Apr-25,K2,512,2,NS,566,9:10,N/A,LI,5,
30-Apr-25,K2,518,1,NS,566,9:20,6,RE,2,
30-Apr-25,K2,507,2,CTRL,N/A,9:45,N/A,N/A,N/A,
30-Apr-25,K3,509,1,CTRL,N/A,10:00,N/A,N/A,N/A,
01-May-25,K1 ,599,1,NS,531,8:15,N/A,LO,5,
01-May-25,K1 ,600,2,CTRL,N/A,8:20,N/A,N/A,N/A,
01-May-25,K1 ,519,3,NS,531,8:30,0,LO,2,
01-May-25,K2,512,2,NS,531,8:40,N/A,LI,1,
01-May-25,K3,520,3,NS,531,8:50,1,LI,2,
01-May-25,K3,509,2,CTRL,N/A,9:00,0,N/A,N/A,
01-May-25,KT,516,2,NS,531,9:20,7,LO,3,
03-May-25,K1 ,599,2,NS,566,8:05,N/A,LO,4,
03-May-25,K1 ,600,5,CTRL,N/A,8:10,4,N/A,N/A,
03-May-25,K1 ,521,4,NS,566,8:15,0,LO,2,
03-May-25,K1 ,511,2,NS,566,8:25,N/A,LO,4,
03-May-25,K2,512,2,NS,566,8:40,N/A,LO,5,
03-May-25,K2,518,1,NS,566,8:50,N/A,RE,2,
03-May-25,K3,520,3,NS,566,9:00,0,LI,1,
03-May-25,KT,516,3,NS,566,9:20,,LI,6,
05-May-25,K1 ,511,5,NS,531,8:15,8,LO,4,
05-May-25,K2,506,5,NS,531,8:25,N/A,LI,3,
05-May-25,K2,513,1,NS,531,8:35,N/A,LO,4,
05-May-25,K2,513,5,NS,531,8:40,1,LO,4,
05-May-25,K3,520,1,NS,531,8:50,5,LO,4,
05-May-25,K1 ,600,3,CTRL,531,9:00,N/A,N/A,N/A,
05-May-25,KT,516,1,NS,531,9:15,N/A,LI,4,
06-May-25,K1 ,519,2,NS,566,8:20,3,LO,4,
06-May-25,K1 ,599,2,NS,566,8:25,N/A,LO,7,
06-May-25,K1 ,599,3,NS,566,8:30,4,LO,7,
06-May-25,K1 ,599,6,NS,566,8:35,1,LO,7,
06-May-25,K1 ,521,2,NS,566,8:40,4,LI,1,
06-May-25,K1 ,521,4,NS,566,8:45,N/A,LI,1,
06-May-25,K1 ,514,1,NS,566,8:50,N/A,LO,4,
06-May-25,K2,512,2,NS,566,9:00,N/A,RE,4,
06-May-25,K2,518,1,NS,566,9:05,N/A,LI,2,
06-May-25,K2,513,2,NS,566,9:15,N/A,LO,6,
07-May-25,K1 ,511,6,NS,531,8:10,N/A,LI,1,
07-May-25,K2,512,3,NS,531,8:20,N/A,LO,5,
08-May-25,K1 ,599,4,NS,531,8:15,N/A,LO,7,
08-May-25,K1 ,522,3,NS,531,8:20,3,LO,1,
08-May-25,K1 ,511,5,NS,531,8:30,N/A,LO,4,
08-May-25,k3,509,1,CTRL,N/A,8:40,N/A,N/A,N/A,
08-May-25,k3,520,1,NS,531,8:50,N/A,LI,4,
08-May-25,k2,523,5,NS,531,9:00,2,LO,6,
08-May-25,KT,516,1,NS,531,9:15,N/A,LO,4,
08-May-25,KT,516,3,NS,531,9:20,N/A,LO,4,
09-May-25,K1 ,599,2,NS,531,8:20,N/A,RE,3,
09-May-25,K1 ,522,4,NS,531,8:25,N/A,LO,2,
09-May-25,K1 ,519,2,NS,531,8:29,N/A,LO,4,
09-May-25,K1 ,521,2,NS,531,8:35,N/A,LO,3,
09-May-25,K1 ,514,1,NS,531,8:40,N/A,LO,5,
09-May-25,K2,518,2,NS,531,8:50,N/A,LI,3,
09-May-25,K2,507,2,CTRL,N/A,9:00,N/A,N/A,N/A,
09-May-25,K3,520,3,NS,531,9:05,N/A,LO,2,